TIME             CONTAINER_ID  UID    COMM             PID/host        TID/host        RET              EVENT                ARGS
07:50:51:367199  31558a4fe0bb  0      dockerd          12     /575845  1311   /577256  0                mkdirat              dirfd: -100, pathname: /dockerversion, mode: 511
07:50:51:367310  31558a4fe0bb  0      dockerd          12     /575845  1311   /577256  0                mkdirat              dirfd: -100, pathname: /docs, mode: 511
07:50:51:367348  31558a4fe0bb  0      dockerd          12     /575845  1311   /577256  0                mkdirat              dirfd: -100, pathname: /docs/api, mode: 511
07:50:51:385359  31558a4fe0bb  0      dockerd          12     /575845  1311   /577256  0                mkdirat              dirfd: -100, pathname: /docs/contributing, mode: 511
07:50:51:385504  31558a4fe0bb  0      dockerd          12     /575845  1311   /577256  0                mkdirat              dirfd: -100, pathname: /docs/contributing/images, mode: 511
07:50:51:388342  31558a4fe0bb  0      dockerd          12     /575845  1311   /577256  0                mkdirat              dirfd: -100, pathname: /docs/static_files, mode: 511
07:50:51:389182  31558a4fe0bb  0      dockerd          12     /575845  1311   /577256  0                mkdirat              dirfd: -100, pathname: /errdefs, mode: 511
07:50:51:389683  31558a4fe0bb  0      dockerd          12     /575845  1311   /577256  0                mkdirat              dirfd: -100, pathname: /hack, mode: 511
07:50:51:392552  31558a4fe0bb  0      dockerd          12     /575845  1311   /577256  0                mkdirat              dirfd: -100, pathname: /hack/dockerfile, mode: 511
07:50:51:392591  31558a4fe0bb  0      dockerd          12     /575845  1311   /577256  0                mkdirat              dirfd: -100, pathname: /hack/dockerfile/etc, mode: 511
07:50:51:392629  31558a4fe0bb  0      dockerd          12     /575845  1311   /577256  0                mkdirat              dirfd: -100, pathname: /hack/dockerfile/etc/docker, mode: 511
07:50:51:392702  31558a4fe0bb  0      dockerd          12     /575845  1311   /577256  0                mkdirat              dirfd: -100, pathname: /hack/dockerfile/install, mode: 511
07:50:51:393606  31558a4fe0bb  0      dockerd          12     /575845  1311   /577256  0                mkdirat              dirfd: -100, pathname: /hack/make, mode: 511
07:50:51:396727  31558a4fe0bb  0      dockerd          12     /575845  1311   /577256  0                mkdirat              dirfd: -100, pathname: /hack/test, mode: 511
07:50:51:398406  31558a4fe0bb  0      dockerd          12     /575845  1311   /577256  0                mkdirat              dirfd: -100, pathname: /hack/validate, mode: 511
07:50:51:399043  31558a4fe0bb  0      dockerd          12     /575845  1311   /577256  0                mkdirat              dirfd: -100, pathname: /image, mode: 511
07:50:51:399080  31558a4fe0bb  0      dockerd          12     /575845  1311   /577256  0                mkdirat              dirfd: -100, pathname: /image/cache, mode: 511
